index,store_timestamp,evse_type,station_location,supports_discharge,weekday,month,last_charge_end_time_ts,connection_start_time_ts,charging_start_time_ts,charging_start_time_missing,charging_end_time_ts,charging_end_time_missing,connection_end_time_ts,expected_departure_time_ts,expected_departure_time_missing,idle_time_ts,expected_usage_duration_ts,expected_usage_duration_missing,expected_time_diff_ts,expected_time_diff_missing,actual_usage_duration_ts,actual_charging_duration_ts,actual_charging_duration_missing,start_delay_duration_ts,start_delay_duration_missing,post_charge_departure_delay_ts,post_charge_departure_delay_missing,usage_departure_time_diff_ts,usage_departure_time_diff_missing,duration_per_kwh_ts,duration_per_kwh_missing,delivered_kwh,requested_kwh,kwh_request_diff,kwh_per_usage_time,kwh_per_usage_time_missing,evse_name,scheduled_charge,usage_departure_range,post_charge_departure_range,cluster,connection_start_time_ts_dt,connection_end_time_ts_dt,charging_start_time_ts_dt,charging_end_time_ts_dt
0,2024-07-01 00:00:00,FC,CSCS2015,n,0,7,2024-07-01 00:00:00,1719850800.0,1719851460.0,False,1719853560.0,False,1719855541.0,1719857040.0,1719857040.0,58800.0,6240.0,6240.0,3480.0,3480.0,4741.0,2100.0,2100.0,660.0,660.0,1981.0,1981.0,1499.0,1499.0,,False,29.31,29.95,0.6400000000000006,5.35,False,1,y,3.0,1.0,0.0,2024-07-01 16:20:00,2024-07-01 17:39:01,2024-07-01 16:31:00,2024-07-01 17:06:00
1,2024-07-01 00:00:00,SC,CV000666,n,0,7,2024-07-01 00:00:00,1719850800.0,1719851460.0,False,1719853560.0,False,1719855541.0,1719857040.0,1719857040.0,58800.0,6240.0,6240.0,3480.0,3480.0,4741.0,2100.0,2100.0,660.0,660.0,1981.0,1981.0,1499.0,1499.0,,False,29.31,29.95,0.6400000000000006,5.35,False,1,y,3.0,1.0,0.0,2024-07-01 16:20:00,2024-07-01 17:39:01,2024-07-01 16:31:00,2024-07-01 17:06:00
2,2024-07-01 00:00:00,FC,CV000666,n,0,7,2024-07-01 00:00:00,1719850800.0,1719851460.0,False,1719853560.0,False,1719855541.0,1719857040.0,1719857040.0,58800.0,6240.0,6240.0,3480.0,3480.0,4741.0,2100.0,2100.0,660.0,660.0,1981.0,1981.0,1499.0,1499.0,,False,29.31,29.95,0.6400000000000006,5.35,False,1,y,3.0,1.0,0.0,2024-07-01 16:20:00,2024-07-01 17:39:01,2024-07-01 16:31:00,2024-07-01 17:06:00
3,2024-07-01 00:30:00,FC,CSCS2015,n,0,7,2024-07-01 00:00:00,1719850800.0,1719851460.0,False,1719853560.0,False,1719855541.0,1719857040.0,1719857040.0,58800.0,6240.0,6240.0,3480.0,3480.0,4741.0,2100.0,2100.0,660.0,660.0,1981.0,1981.0,1499.0,1499.0,,False,29.31,29.95,0.6400000000000006,5.35,False,1,y,3.0,1.0,0.0,2024-07-01 16:20:00,2024-07-01 17:39:01,2024-07-01 16:31:00,2024-07-01 17:06:00
4,2024-07-01 00:30:00,SC,CV000666,n,0,7,2024-07-01 00:00:00,1719850800.0,1719851460.0,False,1719853560.0,False,1719855541.0,1719857040.0,1719857040.0,58800.0,6240.0,6240.0,3480.0,3480.0,4741.0,2100.0,2100.0,660.0,660.0,1981.0,1981.0,1499.0,1499.0,,False,29.31,29.95,0.6400000000000006,5.35,False,1,y,3.0,1.0,0.0,2024-07-01 16:20:00,2024-07-01 17:39:01,2024-07-01 16:31:00,2024-07-01 17:06:00
5,2024-07-01 00:30:00,FC,CV000666,n,0,7,2024-07-01 00:00:00,1719850800.0,1719851460.0,False,1719853560.0,False,1719855541.0,1719857040.0,1719857040.0,58800.0,6240.0,6240.0,3480.0,3480.0,4741.0,2100.0,2100.0,660.0,660.0,1981.0,1981.0,1499.0,1499.0,,False,29.31,29.95,0.6400000000000006,5.35,False,1,y,3.0,1.0,0.0,2024-07-01 16:20:00,2024-07-01 17:39:01,2024-07-01 16:31:00,2024-07-01 17:06:00
6,2024-07-01 01:00:00,FC,CSCS2015,n,0,7,2024-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-01 01:00:00,SC,CV000666,n,0,7,2024-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-01 01:00:00,FC,CV000666,n,0,7,2024-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-01 01:30:00,FC,CSCS2015,n,0,7,2024-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
